"gid","xzjb","xsqy"
2076,省,地方
2077,省,地方
2078,省,地方
2079,省,地方
2080,省,地方
2081,省,地方
2082,省,地方
2083,省,地方
2084,省,地方
2085,省,地方
2086,省,地方
2087,省,地方
2088,省,地方
2089,省,地方
2090,省,地方
2091,省,地方
2092,省,地方
2093,省,地方
2094,省,中石油
2095,省,中石油
2096,国家,中石油
2097,国家,中石油
2098,国家,中石油
2099,国家,中石油
2100,国家,中石油
2101,国家,中石油
2102,国家,中石油
2103,国家,中石油
2104,国家,中石油
2105,国家,中石油
2106,国家,中石油
2107,国家,中石油
2108,国家,中石油
2109,国家,中石油
2110,国家,中石油
2111,国家,中石油
2113,国家,中石油
2114,国家,中石油
2115,国家,中石油
2116,国家,中石油
2117,国家,中石油
2118,国家,中石油
2120,国家,中石油
2121,国家,中石油
2122,国家,中石油
2123,国家,中石化
2124,国家,中石油
2125,国家,中石油
2126,国家,中石油
2127,国家,中石油
2128,国家,中石油
2129,国家,中石油
2131,国家,中石油
2132,国家,中石油
2133,国家,中石油
2134,国家,中石油
2135,国家,中石油
2136,国家,中石油
2137,国家,中石油
2138,国家,中石油
2139,国家,中石油
2140,国家,中石化
2141,国家,中石化
2142,国家,中石油
2143,国家,中石油
2144,国家,中石油
2145,国家,中石油
2146,国家,中石油
2147,国家,中石油
2148,国家,中石油
2149,国家,中石油
2150,国家,中石油
2152,国家,中石油
2153,国家,中石油
2154,国家,中石油
2155,国家,中石油
2156,国家,中石油
2157,国家,中石油
2158,国家,中石油
2159,国家,中石油
2160,国家,中石化
2161,国家,中石油
2162,国家,中石油
2163,国家,中石油
2164,国家,中石油
2165,国家,中石油
2166,国家,中石油
2167,国家,中石化
2168,国家,中石油
2169,国家,中石油
2170,国家,中石油
2171,国家,中石油
2172,国家,中石油
2173,国家,中石油
2174,国家,中石油
2175,国家,中石油
2176,国家,中石化
2177,国家,中石化
2178,国家,中石化
2180,国家,中石油
2181,国家,中石油
2182,国家,中石油
2183,国家,中石油
2184,国家,中石油
2185,国家,中石油
2186,国家,中石油
2187,国家,中石油
2190,国家,中石油
2192,国家,中石化
2193,国家,中石化
2194,国家,中石化
2196,国家,中石油
2198,国家,中石化
2199,国家,中石油
2200,国家,中石化
2201,国家,中石化
2202,国家,中石化
2203,国家,中石化
2204,国家,中石油
2206,省,地方
2207,省,地方
2208,国家,中石油
2209,国家,中石油
