"gdmc","gid","stnod","ednod","cd"
大来线输气管道 (大溪 - 来凤),2076,21065,22385,21.524
大来线输气管道 (大溪 - 来凤),2077,20830,21065,62.076
大坝至大峡谷天然气管道,2078,21642,21066,15.000
大坝至利川城区天然气管道,2079,21642,20858,16.000
锣场 - 后港天然气管道,2080,20943,21015,26.900
仙人渡 - 丹江口天然气管道,2081,23444,23353,44.000
六里坪 - 房县 - 竹溪天然气管道,2082,20845,21016,76.164
六里坪 - 房县 - 竹溪天然气管道,2083,21009,21010,50.174
荆门 - 沙洋天然气管道,2084,21017,21013,14.906
荆门 - 沙洋天然气管道,2085,21019,21020,7.318
荆门 - 沙洋天然气管道,2086,21013,21019,20.776
钟祥 - 京山次高压天然气管道,2087,21024,21014,52.100
宜城 - 雷河天然气管道,2088,20976,21058,9.100
荆门 - 钟祥天然气管道,2089,21018,21024,14.918
荆门 - 钟祥天然气管道,2090,21017,21018,22.291
荆门 - 钟祥天然气管道,2091,20837,21017,6.691
杨寨 - 广水天然气管道,2092,21471,21021,17.380
京山 - 钟祥天然气管道,2093,21451,21022,79.300
荆门分输站 - 五一路门站次高压天然气管道,2094,21511,21023,4.000
荆门市绿动能源高压燃气管道,2095,20843,21216,7.663
西气东输二线西段,2096,21423,21402,89.000
西气东输二线西段,2097,21281,21285,175.000
西气东输二线上海支线嘉兴-甪直联络线,2098,21385,21437,62.895
西气东输二线南昌-上海支干线,2099,21387,21437,82.136
西气东输二线西段,2100,21415,21410,58.000
西气东输二线西段,2101,21397,21415,120.000
西气东输二线西段,2102,21403,21288,119.000
西气东输二线西段,2103,21402,21397,186.000
西气东输二线西段,2104,21288,21404,76.000
西气东输二线西段,2105,21406,21281,170.000
西气东输二线西段,2106,21410,21416,134.000
西气东输二线西段,2107,21285,21403,58.000
陕京四线,2108,21695,21688,141.130
陕京四线,2109,21688,21689,200.240
陕京四线,2110,21664,21120,53.400
西气东输二线西段,2111,21282,21423,113.000
兰银线景泰支线,2113,22572,21241,5.000
中缅天然气管道国内段瑞丽-贵阳段,2114,21226,21227,211.337
中缅天然气管道国内段瑞丽-贵阳段,2115,21242,21226,325.513
西气东输三线,2116,21381,21382,20.000
西气东输三线,2117,21382,21434,70.000
西气东输三线,2118,21434,21383,130.000
西气东输二线樟树-湘潭支线,2120,21244,21238,49.700
西气东输二线樟树-湘潭支线,2121,21245,21225,21.600
西气东输一线金坛-溧阳支线,2122,21127,29812,52.000
广西LNG外输管线粤西支线广东段,2123,21394,21247,154.500
西气东输二线南昌-上海支干线,2124,21424,21431,91.860
西气东输二线南昌-上海支干线,2125,21427,21424,91.428
西气东输二线樟树-湘潭支线,2126,21251,21244,58.000
西气东输二线樟树-湘潭支线,2127,21426,21251,59.200
泰青威干线,2128,21564,21524,58.000
泰青威干线,2129,21524,21546,53.000
泰青威干线,2131,21546,21551,74.000
涩宁兰输气管道刘化支线,2132,22495,21229,29.760
涩宁兰输气管道复线,2133,21362,21517,5.650
泰青威干线,2134,21347,21553,80.000
泰青威干线,2135,21553,21564,37.000
西气东输二线泰安支干线,2136,21705,21609,64.400
西气东输二线泰安支干线,2137,21633,21705,85.170
西气东输二线泰安支干线,2138,21702,21699,36.880
西气东输三线闽粤支干线（漳州-广州）,2139,21102,21613,100.450
山东LNG干线,2140,21138,21485,48.000
山东LNG干线,2141,21138,21586,139.000
港清复线,2142,21176,21121,61.600
港清线,2143,21092,21121,61.530
陕京二线,2144,21698,21361,64.600
陕京二线,2145,21675,21671,41.400
陕京四线,2146,21690,21614,86.350
陕京四线,2147,21614,21695,228.520
陕京二线,2148,21117,21654,177.800
西气东输一线龙池-扬巴支线,2149,21101,21125,6.000
陕京二线,2150,21361,21111,73.500
中贵天然气管道,2152,21203,21582,209.890
中贵天然气管道,2153,21250,21578,159.750
中贵天然气管道,2154,21498,21249,64.750
中贵天然气管道,2155,21249,21513,178.630
泰青威干线,2156,21365,21552,62.000
泰青威干线,2157,21552,21545,60.000
泰青威干线,2158,21545,21547,37.000
泰青威干线,2159,21547,21537,65.000
鄂安沧输气管道,2160,21554,21361,78.300
冀宁联络线,2161,21563,21361,66.970
冀宁联络线,2162,21544,21589,20.500
冀宁联络线,2163,21589,21590,130.630
中贵天然气管道,2164,21513,21600,142.500
冀宁线济宁支线,2165,21363,21562,18.640
冀宁线德州支线,2166,21596,21594,14.250
鄂安沧输气管道,2167,21568,21519,95.000
冀宁联络线,2168,21346,21565,71.120
冀宁联络线邳-徐支线,2169,21346,21572,55.000
冀宁联络线泰兴-芙蓉支线,2170,21591,21592,5.000
中贵天然气管道,2171,21287,21498,214.240
中贵天然气管道,2172,21578,21583,62.100
中贵天然气管道,2173,21583,21584,46.100
冀宁线临沂支线,2174,21585,21599,90.500
冀宁联络线,2175,21596,21563,61.530
鄂安沧濮阳支线,2176,21361,21371,109.070
鄂安沧濮阳支线,2177,21374,21373,73.130
鄂安沧输气管道,2178,21361,21568,67.000
中贵天然气管道,2180,21584,21501,60.400
冀宁线济宁支线,2181,21562,21593,23.610
如东-海门-崇明岛支线,2182,21548,21522,79.000
如东-海门-崇明岛支线,2183,21522,21523,6.000
冀宁联络线,2184,21565,21585,32.620
冀宁联络线邳-连支线,2185,21346,21597,142.000
冀宁联络线泰兴-芙蓉支线,2186,21592,21348,26.000
冀宁联络线泰兴-芙蓉支线,2187,21366,21591,27.000
冀宁联络线,2190,21590,21541,80.960
榆济线,2192,21428,21419,109.840
榆济线,2193,21419,21380,35.800
鄂安沧输气管道,2194,21573,21554,47.700
西气东输二线南昌-上海支干线,2196,21392,21427,147.378
榆济线,2198,21379,22785,71.220
西气东输二线湘潭-娄底-邵阳,2199,21225,21391,26.000
潜江-韶关输气管道,2200,21411,21355,130.000
潜江-韶关输气管道,2201,21356,21349,120.000
潜江-韶关输气管道,2202,21192,21356,110.000
潜江-韶关输气管道,2203,21355,21192,60.000
西气东输二线东段,2204,21619,21665,171.000
黄大线管道,2206,20958,21447,12.800
孝昌 - 大悟天然气管道,2207,21620,21471,36.460
兰银线河口-甘塘段,2208,21362,21368,204.400
泰青威干线,2209,21551,21365,30.000
中贵天然气管道,2210,21501,21577,116.400
中贵天然气管道,2211,21600,21250,130.550
安济线,2212,21361,21588,200.000
冀宁线武城支线,2213,21596,21595,17.290
兰银线甘塘-银川段,2215,21368,21575,222.300
冀宁联络线,2216,21347,21561,37.630
冀宁联络线,2217,21363,21682,83.670
鄂安沧濮阳支线,2218,21373,21077,46.810
鄂安沧濮阳支线,2219,21371,21374,107.840
冀宁联络线,2220,21561,21596,100.590
冀宁联络线,2221,21145,21544,30.200
冀宁联络线,2222,21585,21363,53.360
冀宁联络线,2223,21541,21346,70.510
中俄东线干线沈阳-永清,2224,21136,21179,79.500
西气东输二线北疆联络线,2225,21404,21156,14.000
西气东输二线独石化支线,2226,21403,21157,8.000
中缅天然气管道丽江支线,2227,21148,21155,176.328
西气东输三线中卫-靖边联络线,2228,21287,27456,377.000
中俄东线干线沈阳-永清,2229,21321,21136,581.900
中俄东线干线长岭-沈阳,2230,21141,21321,201.600
中俄东线干线沈阳-永清,2231,21179,21176,103.000
贵港-玉林支线,2232,21161,21162,103.000
大沈线,2233,21184,21186,37.810
大沈线,2234,21186,21321,60.480
中俄东线干线黑河-长岭,2235,21177,21178,142.400
秦沈线,2236,21189,21188,101.700
秦沈线,2237,21634,21190,159.700
秦沈线,2238,21190,21189,37.500
长长吉天然气管道,2239,21183,21320,108.500
青宁线,2240,21590,21326,54.476
青宁线,2241,21326,21325,40.945
青宁线,2242,21327,21145,19.099
西气东输一线甪直-宝钢支干线,2243,21438,21170,45.900
西气东输二线中卫-靖边联络线,2244,21287,21131,186.000
青宁线,2245,21586,27599,14.066
青宁线,2246,21147,21144,30.387
青宁线,2247,21328,21590,87.383
西气东输二线酒泉天然气支线,2248,21284,21159,11.000
西气东输二线张掖支线,2249,21309,21152,22.930
西气东输二线武威支线,2250,21401,21153,9.120
中俄东线干线黑河-长岭,2251,21142,21183,135.900
中缅天然气管道玉溪支线,2252,21150,21149,68.152
青宁线,2253,21144,21328,64.853
青宁线,2254,21325,21327,82.491
青宁线,2255,21586,21147,140.689
西气东输一线,2256,21291,21335,52.860
西气东输一线,2257,21335,21292,62.300
西气东输一线,2258,21409,21408,181.500
西气东输三线,2259,21432,21310,205.000
西气东输一线,2260,21145,21105,7.800
西气东输一线,2261,21101,21145,27.700
西气东输一线,2262,21598,21331,77.000
西气东输一线,2263,21331,21293,95.000
西气东输一线,2264,21336,21348,20.700
西气东输一线,2265,21293,21330,55.331
西气东输一线,2266,21330,21329,66.190
西气东输一线,2267,21329,21101,59.520
西气东输一线,2268,21107,21336,65.000
西气东输一线,2269,21105,21107,43.100
西气东输一线,2270,21290,21123,18.000
西气东输一线,2271,21348,21290,35.500
西气东输一线,2272,21344,27456,153.553
西气东输一线,2273,27456,21340,151.447
西气东输一线长铝支线,2274,21292,21163,24.000
秦沈线,2275,21188,21321,123.800
南宁-百色支线,2276,21160,21167,243.000
西气东输一线,2277,21340,21294,126.150
西气东输一线,2278,21294,21295,156.350
西气东输一线,2279,21287,21344,181.408
西气东输一线,2280,21343,21334,140.000
西气东输一线,2281,21334,21341,107.000
西气东输一线,2282,21315,21343,198.000
西气东输一线沁水煤层气管道,2283,21164,21295,35.000
西气东输一线甪直-宝钢支干线,2285,21169,21171,10.000
西气东输一线,2286,21342,21287,165.592
西气东输一线,2287,21341,21342,124.000
夏河支线,2288,22678,21224,31.000
涩宁兰输气管道甘西南支线,2289,21229,21231,63.500
榆济线,2290,21380,21420,85.560
榆济线,2291,21418,21378,113.210
广西支干线（湖南段）,2292,21356,21237,244.000
兰定线,2293,21235,21234,67.000
兰银线白银支线,2294,22852,21228,56.000
中缅天然气管道桂林支线,2296,22648,21255,101.000
中缅天然气管道桂林支线,2297,21255,21253,41.000
广西LNG外输管道,2298,21204,21492,117.290
广西LNG管线-桂林支线,2299,21252,21248,155.900
广西LNG外输管道,2300,21499,21236,43.960
中缅天然气管道钦州支线,2301,20828,21491,90.000
中缅天然气管道桂林支线,2302,21503,21254,61.530
西气东输三线,2304,21310,21287,152.000
西气东输一线,2305,21123,21438,49.000
西气东输一线,2307,21438,21296,29.000
西气东输三线,2308,21406,21281,173.000
西气东输三线,2309,21288,21404,76.000
西气东输三线,2310,21402,21415,188.000
西气东输三线,2311,21281,21285,178.000
西气东输二线湘潭-娄底-邵阳,2312,21389,21193,58.000
西气东输三线,2313,21285,21288,180.000
西气东输三线,2315,21404,21282,63.000
榆济线,2316,21377,21137,94.970
榆济线,2317,21137,21588,16.630
西气东输二线樟树-湘潭支线,2318,21238,21245,39.600
鄯乌线,2320,21681,21612,23.310
西气东输二线西段,2321,21401,21310,69.067
西气东输二线东段,2322,21310,21287,148.919
西气东输二线西段,2323,21283,21284,173.250
永唐秦输气管道,2324,21179,21136,80.730
长宁线,2325,27456,21713,136.390
永唐秦输气管道,2326,21136,21715,57.440
