"gid","szs","szsq","szq","xzjb","yygs"
20811,,,,,
20812,,,,,
20813,,,,,
20815,,,,,
20816,,,,,
20817,,,,,
20818,,,,,
20819,,,,,
20820,,,,,
20821,,,,,
20822,,,,,
20823,安徽省,安庆市,怀宁县,国家,中石化
20824,,,,,
20825,重庆市,重庆市,万州区,国家,""
20826,,,,,
20827,,,,,
20828,,,,,
20830,重庆市,重庆市,酉阳土家族苗族自治县,省,
20831,,,,,
20832,,,,,
20833,湖北省,武汉市,蔡甸区,省,武汉市天然气有限公司
20836,湖北省,仙桃市,仙桃市,省,仙桃中油燃气有限责任公司
20837,湖北省,荆门市,掇刀区,省,钟祥华润燃气有限公司
20838,湖北省,荆州市,监利市,省,监利天然气有限责任公司
20839,湖北省,荆州市,荆州区,省,荆州市津江天然气有限公司
20843,湖北省,荆门市,掇刀区,省,荆门中石油昆仑燃气有限公司
20845,湖北省,十堰市,丹江口市,省,竹山县同相天然气有限公司
20848,湖北省,荆州市,监利市,省,国家管网集团新疆煤制天然气外输管道有限责任公司
20849,湖北省,鄂州市,华容区,省,武汉葛华燃气有限公司
20850,湖北省,鄂州市,华容区,省,鄂州市安泰天然气有限责任公司
20851,湖北省,鄂州市,华容区,省,武汉葛华燃气有限公司
20852,湖北省,黄石市,黄石港区,省,黄石中石油昆仑城投燃气有限公司
20853,湖北省,黄冈市,麻城市,省,麻城市天然气发展有限公司
20854,湖北省,黄冈市,红安县,省,红安华润燃气有限公司
20855,湖北省,鄂州市,鄂城区,省,鄂州市安泰天然气有限责任公司
20856,湖北省,鄂州市,鄂城区,省,鄂州市安泰天然气有限责任公司
20857,湖北省,荆州市,公安县,省,公安县兴成燃气有限公司
20858,湖北省,恩施土家族苗族自治州,利川市,省,利川市靓利天然气有限公司
20860,湖北省,黄冈市,红安县,省,红安华润燃气有限公司
20862,湖北省,宜昌市,枝江市,省,宜昌中基天然气利用有限公司
20865,湖北省,宜昌市,宜都市,省,宜都深燃天然气有限公司
20866,湖北省,荆州市,松滋市,省,湖北晋和能源实业有限公司
20867,湖北省,荆州市,松滋市,省,湖北晋和能源实业有限公司
20868,湖北省,宜昌市,宜都市,省,中农惠沣驿站能源(松滋)有限公司
20869,湖北省,荆州市,沙市区,省,荆州市天然气发展有限责任公司
20870,湖北省,荆州市,荆州区,省,荆州市津江天然气有限公司
20871,湖北省,荆州市,沙市区,省,荆州市津江天然气有限公司
20872,湖北省,荆州市,江陵县,省,潜江华润燃气有限公司监利分公司
20873,湖北省,孝感市,安陆市,省,安陆嘉旭天然气有限公司
20874,湖北省,咸宁市,咸安区,省,咸宁华润城投燃气有限公司
20875,湖北省,咸宁市,嘉鱼县,省,西安华通新能源股份有限公司潘家湾镇分公司
20876,湖北省,咸宁市,通城县,省,通城天然气有限公司
20877,湖北省,武汉市,江夏区,省,武汉江夏华润燃气有限公司
20878,湖北省,武汉市,新洲区,省,武汉新洲华润燃气有限公司
20879,湖北省,孝感市,大悟县,省,大悟嘉旭天然气有限公司
20880,湖北省,孝感市,孝昌县,省,孝昌嘉旭天然气有限公司
20881,湖北省,宜昌市,枝江市,省,宜昌市标典天然气利用有限公司
20882,湖北省,宜昌市,夷陵区,省,宜昌中基天然气利用有限公司
20883,湖北省,宜昌市,夷陵区,省,宜昌中基天然气利用有限公司
20884,湖北省,宜昌市,秭归县,省,秭归县楚炬天然气管道有限公司
20885,湖北省,宜昌市,宜都市,省,宜都深燃天然气有限公司
20886,湖北省,宜昌市,长阳土家族自治县,省,长阳华瑞天然气有限公司
20887,湖北省,宜昌市,枝江市,省,宜昌市标典天然气利用有限公司
20888,湖北省,宜昌市,枝江市,省,宜昌市标典天然气利用有限公司
20889,湖北省,宜昌市,猇亭区,省,宜昌市城市建设投资开发有限公司
