"gid","mc","bm","x","y","czfl","szs","szsq","szq","xzjb","yygs"
27523,深燃华安,"010101002000007",114.38573321777903,22.616555291567753,接收站,广东省,深圳市,龙岗区,,
29824,"1#阀室","010102007001567",112.04729146096379,32.023533537352534,阀室,湖北省,襄阳市,樊城区,国家,中石油
23055,栖真乡,"010102007000001",120.77395697818243,30.877805636606634,阀室,浙江省,嘉兴市,秀洲区,国家,中石油
34394,常德末站,"010102005000439",111.703790020852,28.994159186187698,末站,湖南省,常德市,武陵区,,
34395,衡阳分数站,"010102005000440",112.88570442112835,26.823319934319453,分输站,湖南省,衡阳市,衡南县,,
34388,安阳站,"010102005000436",114.31262848957368,36.07566900626443,分输站,河南省,安阳市,龙安区,,
34389,邯郸站,"010102005000437",114.53496714405031,36.61870165408969,分输站,河北省,邯郸市,丛台区,,
34391,邓州末站,"010102003000209",112.08462295134689,32.63482536019776,末站,河南省,南阳市,邓州市,,
34390,周口站,"010102005000438",114.77830155213077,33.642512685133354,分输站,河南省,周口市,川汇区,,
31694,潘家庙门站,"010102003000091",116.33360119162988,39.82271090454093,末站,北京市,北京市,丰台区,,
31693,次渠末站,"010102003000090",116.58550093533312,39.80146231654793,末站,北京市,北京市,通州区,,
31697,建昌末站,"010102003000092",119.80295295337307,40.80364569524826,末站,辽宁省,葫芦岛市,建昌县,,
31699,朝阳分输站,"010102005000401",120.4075532288539,41.483297016466494,分输站,辽宁省,朝阳市,朝阳县,,
31700,建平末站,"010102003000093",119.66108488617785,41.38428076862555,末站,辽宁省,朝阳市,建平县,,
31701,凌源末站,"010102003000094",119.34957348998935,41.26066127338694,分输站,辽宁省,朝阳市,凌源市,,
31702,赤峰末站,"010102003000095",118.96195419715474,42.2522140153777,末站,内蒙古自治区,赤峰市,松山区,,
31698,汤河子分输站,"010102005000400",120.97251077718468,41.06566963348651,分输站,辽宁省,锦州市,太和区,,
31704,,"31704",119.93981678729317,41.43270746840579,,,,,,
21577,江津分输压气站,"010102001000005",106.30371509671912,29.243829414507356,压气站,重庆市,重庆市,江津区,国家,""
21422,广州分输压气站,"010102001000064",113.45906488159369,23.656677451301636,压气站,广东省,广州市,从化区,国家,中石油
21497,曲靖分输站,"010102005000253",103.68183543736984,25.266988731833635,分输站,云南省,曲靖市,马龙区,国家,""
31705,北票末站,"010102003000097",120.8253838303824,41.74491401594011,末站,辽宁省,朝阳市,北票市,,
31709,长兴岛末站,"010102003000101",121.4421500337735,39.59657878651559,末站,辽宁省,大连市,瓦房店市,,
31710,瓦房店末站,"010102003000102",121.95124146507767,39.62040948440707,末站,辽宁省,大连市,瓦房店市,,
31712,庄河末站,"010102003000103",122.93913661098904,39.720421217366365,末站,辽宁省,大连市,庄河市,,
31708,复洲城末站,"010102003000100",121.70249552487732,39.74142200729135,末站,辽宁省,大连市,瓦房店市,,
31713,东港末站,"010102003000104",124.13445932897656,39.972054540504324,末站,辽宁省,丹东市,东港市,,
31714,丹东末站,"010102003000105",124.34719329345344,40.14808747578397,末站,辽宁省,丹东市,振兴区,,
31706,锦州石化末站,"010102003000098",121.16767674987449,41.140049440666374,末站,辽宁省,锦州市,凌河区,,
31707,锦西石化末站,"010102003000099",120.87414937684075,40.699511487713686,末站,辽宁省,葫芦岛市,龙港区,,
22076,A13#,"010102007001451",122.59907256802373,40.873262068914386,阀室,辽宁省,鞍山市,海城市,国家,中石油
31721,岫岩末站,"010102003000109",123.29054663830085,40.32014170928607,末站,辽宁省,鞍山市,岫岩满族自治县,,
31719,,"31719",122.66743322477645,40.816946548291845,,,,,,
21428,方山输气站,"010102006000015",111.22419226290732,37.9113408860709,分输清管站,山西省,吕梁市,方山县,国家,中石化
21521,长阳分输站,"010102005000173",111.2542315352411,30.526226685541715,分输站,湖北省,宜昌市,长阳土家族自治县,国家,""
21528,宜昌分输站,"010102005000175",111.43724412679019,30.4869466596772,分输站,湖北省,宜昌市,猇亭区,国家,""
21687,三门峡分输站,"010102005000242",111.4546300174928,34.53150427960461,分输站,河南省,三门峡市,陕州区,国家,中石油
21922,"25#","010102007000345",93.68545113512296,41.14768903703244,阀室,新疆维吾尔自治区,哈密市,伊州区,国家,""
